Document_id,Cleaned Review,Sentiment
1,guardian galaxi volum chaotic weird oftentim ridicul also full heart emot great themesi must say best marvel movi sinc endgam that necessarili hard though need surpass way home amaz high moment lazi other marvel desper need hit theyv final got ithighlightseveri member crew got time shine rocket definit one stood though see friend die wail pain grief made bawl high evolutionari mock man heavi stuff proce rip face two friend shot well thu rocket traumat pastim revealedchukwudi iwuji fantast villain certain point downright terrifi realli like line god that took place convinc villainth moment starlord scream agoni rocket live moment reson lost mani peopl close cant stand lose anyon elsegamora get lot charact develop im glad didnt kiss quill end would felt littl cheapdrax manti nebula adam warlock other also got moment well im surpris nobodi die honeston problem movi humor lot time good passabl time undercut realli emot scenesi could say lot review alreadi long,Positive
2,sat phase film fail inspir guardian feel like breath fresh air le run mill superhero film world space adventur handl care jame gunnat heart guardian galaxi volum stori famili loss technolog promin today zeitgeist theme sometim caus forget watch marvel movi movi backstori dark help hammer home theme villainth univers full charact weird sometim weird uniqu compar rest mcu that mostli good thing despit movi dark time also lot humour fit especi well guardian galaxi franchis compar marvel franchis action cours music level expect guardian galaxi movi one better post endgam movi fit end trilog,Positive
3,point one trilog mcu excel start finish time add anoth one list guardian galaxi vol fit conclus narr charact jame gunn writerdirector took time creat connect depth individu storyarcswhil recent film mcu felt like filler episod whose purpos sole set futur entri franchis film stand stori isol give illus final way one guardian uniqu entri otherwis convolut extend film universeth filmmak afraid take time tell stori caus film drag time though felt lengthi hour minut know could cut typic superhero movi fashion climact battl plenti explos go aroundbetween villain bicker within guardian excess amount yell movi headach immin much third act scream match scream match scene emot heavi yell distract bit strong actingguardian galaxi vol one better entri marvel cinemat univers sinc aveng endgam though chaotic two film trilog beauti conclus guardian stori boast stellar set piec excel soundtrack perfect chemistri cast member film eager rewatchbest charact drax best quot u best scene infiltr orgocorp best piec score love guy,Positive
4,god that step admit one best line ever spoken supervillain concis captur whole reason seem like would perfect thing thano say oddli though there real backstori high evolutionari usual marvel villain might much materi quit appropri attent realli scruffi argument lovabl hero guardiansi like time around get well deserv fair share screen time mean sit pretti long movi fine manti nebula particular better charact quill gamora drax good ever choic make rocket extend backstori mainspr plot clever end carri real weight rocket elev tragic substanti figur practic level spiderman that say lotth whole guardian seri owe director jame gunn bigtim shame see move im look forward see hell abl dc set motion group charact realli work rd instal build effect top predecessor go theater knew expect got that big complimentat time done warlock high evolutionari kind odd end disappoint warlock especi kind trivial he capabl becom major charact would follow path set origin comic one critic asid still one mcu best thank let jame gunn mind,Positive
5,firstli adam warlock intro marvel made hate kang depict quantumania even adam seem way hardcor kang shownshown talk high evolutionari deliv reputationnow movi whole love even live emot altern two time blend serv farewel belov band misfit becam famili dont recal ever feel connect charact rocket take spotlight everybodi el great well antagonist protagonistsecond half chaotic love movi gener emot pack great action well last third movi adam warlock felt like wast he portray realli strong charact yet felt like he sidelin whole movi pop disappear deserv better charact arc introduct hope well see thought third act predict though especi mantis role like oh mantiswarlock would conveni scenario moment later hesh pop upi think best qualiti one superhero movi felt invest charact movi focus emot aspect instead plot look cool even though that preval theme movi wasnt expect enjoy much despit look forward thought itd anoth case superhero burnout sad well made farewel guardian galaxi know oh forgot mention pretti funni,Positive
6,ive want yeah joke bit silli tone bit confus time end result probabl heartfelt emot reaction comic book movi sinc endgam perfect film conflict adam warlock main villain littl hammi person relationship guardian take dark heartbreak also beauti also best perform chri pratt probabl entir time play charact person steal show rocket dont know need chang rule degre voic act perform nomin oscar incred emot satisfi experi ive mcu long time everi critic say movi schmaltzi sappi doesnt understand much charact mean peopl also jame gunn isnt final chapter stori goodby set charact film chang landscap tone vibe superhero movi also chang fact weird unknown charact strang stori highlight film,Positive
7,lead back start great trilog indic past gotg surpass expect noth short phenomen perform cast truli well written shi away could understood requir sen matur understand rocket back stori alon occas dark incred sad tear instanc film honestli expect jame gunn yet provid absolut beauti piec cinematographi say realli hope futur dive back stori coloni adam warlock final mcu like cameo deliv tradit guardian humor film meant matur audienc marvel trust great film,Positive
8,near perfect end incred marvel trilogyguardian galaxi one best marvel movi ever produc par succeed first instal person didnt think number good allth humour brilliant storylin perfectli pace charact get time screen world build wonder action fantast cgi far better recent marvel addit alway music excellentthi entri focus heavili belov rocket final piec guardian galaxi trilog pull lot charact arc almost full circleour bad guy actor im unfamilar perfect villain quick search imdb final recognis cast number popular tv show also tear jerker movi dont surpris find weep throughout sever point filmyou wont dissapoint final addit guardian may feel littl sad come end,Positive
9,im one cri movi often one broke four mere estim spent entir last hour film tear guardian galaxi vol unexpect masterpiec work art absolut broke mefrom soundtrack write charact use flashback movi close perfect get alreadi establish charact manag heartwrench way movi leav bittersweet tast mouth much think manag make hour feel ten time short never expect fall love movi got viscer way ill never forget experi see itth best marvel film ever,Positive
10,probabl favourit guardian galaxi movi jame gunn tone comedi depart one give u complex intrigu seriou stori film kept charm crew still uniqu style guardian movi mostli music alway look forward music movi soundtrack fantast emot energet love manag give u realli emot stori rocket whilst time everyon el film well written mani cast member involv rocket storylin absolut tragic realli upset hear watch even made cri thing hear cri squeal rip apart realli sad happen friend bit made cri pain rocket realli heartbreak want free friend live lot shock film thing happen wouldnt expect great drax glimps fulli flesh one talk daughter big part charact told made dad star lord got earth stori told go back see grandpa realli cool everyon el realli cool cosmo awesom adam warlock good cant wait see side charact quit dark marvel film bloodi scene even f word realli enjoy gritti tone marvel emot journey charact one last time one awesom made cri cant wait see new guardian galaxi play realli cool charact roster fantast movi love bit,Positive
